Customer_Code,Customer_Name,Customer_City,Customer_Longitude,Customer_Latitude,CustomerType_Name_Fa,Customer_Classification
1019231,???? ??????? ???????????,????,49.715223,34.0880434,??????,B
1022555,????? ???????,????,49.71957548,34.11135187,??????,B
1020274,??????? ?????,??,50.87992905,34.61541393,??????,C
1020900,???? ? ???? ???????? ???????,??,50.8775403,34.67196277,??????,B
1144614,???? ????? ???? ?????,????,49.71407701,34.10839971,??????,B
1150520,???? ?????,????,50.04244653,34.68431934,??????,B
1174419,??? ????,????,49.72034345,34.07220374,??????,C
1021536,???? ?????,??????,50.00493541,34.52505916,??????,C
1022417,???? ???,????,49.69302579,34.09392237,??????,B
1022418,??? ???? ????,????,49.69032161,34.09046051,??????,C
1022737,????? ?????? ?????,????,49.71920273,34.07382564,??????,A
1023162,??????? ???????,????,49.69405592,34.07697148,??????,C
1022410,???? ??? ? ?????? ????? ???,????,49.69554287,34.09488141,??????,B
1026689,???? ??????,?????,51.40717612,33.96702321,??????,A+
1165192,????  ?????? ???????,??,50.84062049,34.61965841,??????,A
1021524,????? ??? ????? ???????,??????,50.00017485,34.5244831,??????,C
1025832,???? ?????,????,49.7265973,34.07547743,??????,A
